Title, Director, Category, Hearts, Link
Jungleland,Max Winkler,Special Presentations,544,https://2019.tiffr.com/shows/jungleland
Just Mercy,Destin Daniel Cretton,Gala Presentations,1935,https://2019.tiffr.com/shows/just-mercy
The Kingmaker,Lauren Greenfield,TIFF Docs,463,https://2019.tiffr.com/shows/the-kingmaker
Knives Out,Rian Johnson,Special Presentations,2867,https://2019.tiffr.com/shows/knives-out
Knuckle City,Jahmil X.T. Qubeka,Contemporary World Cinema,233,https://2019.tiffr.com/shows/knuckle-city
Krabi| 2562,Anocha Suwichakornpong| Ben Rivers,Wavelengths,149,https://2019.tiffr.com/shows/krabi-2562
Kuessipan,Myriam Verreault,Discovery,326,https://2019.tiffr.com/shows/kuessipan
The Last of Sheila,Herbert Ross,TIFF Cinematheque,157,https://2019.tiffr.com/shows/the-last-of-sheila
The Last Porno Show,Kire Paputts,Contemporary World Cinema,502,https://2019.tiffr.com/shows/the-last-porno-show
The Last Waltz,Martin Scorsese,TIFF Cinematheque,282,https://2019.tiffr.com/shows/the-last-waltz
The Laundromat,Steven Soderbergh,Special Presentations,2555,https://2019.tiffr.com/shows/the-laundromat
Letter to the Editor,Alan Berliner,TIFF Docs,298,https://2019.tiffr.com/shows/letter-to-the-editor
Liberté,Albert Serra,Wavelengths,255,https://2019.tiffr.com/shows/liberte
Life Support,Renuka Jeyapalan,Short Cuts,27,https://2019.tiffr.com/shows/life-support
The Lighthouse,Robert Eggers,Special Presentations,2356,https://2019.tiffr.com/shows/the-lighthouse
Limetown,Rebecca Thomas,Primetime,383,https://2019.tiffr.com/shows/limetown
Lina from Lima,María Paz González,Discovery,417,https://2019.tiffr.com/shows/lina-from-lima
La Llorona,Jayro Bustamante,Contemporary World Cinema,361,https://2019.tiffr.com/shows/la-llorona
Locals Only,Brent Harris,Short Cuts,42,https://2019.tiffr.com/shows/locals-only
The Long Walk,Mattie Do,Contemporary World Cinema,237,https://2019.tiffr.com/shows/the-long-walk
The Lost Okoroshi,Abba Makama,Discovery,281,https://2019.tiffr.com/shows/the-lost-okoroshi
Love Child,Eva Mulvad,TIFF Docs,207,https://2019.tiffr.com/shows/love-child
Love Me Tender,Klaudia Reynicke,Discovery,320,https://2019.tiffr.com/shows/love-me-tender
Lucia En El Limbo,Valentina Maurel,Short Cuts,10,https://2019.tiffr.com/shows/lucia-en-el-limbo
Lucy in the Sky,Noah Hawley,Special Presentations,1863,https://2019.tiffr.com/shows/lucy-in-the-sky
Lyrebird,Dan Friedkin,Special Presentations,691,https://2019.tiffr.com/shows/lyrebird
Made in Bangladesh,Rubaiyat Hossain,Contemporary World Cinema,584,https://2019.tiffr.com/shows/made-in-bangladesh
Mariam,Sharipa Urazbayeva,Contemporary World Cinema,251,https://2019.tiffr.com/shows/mariam
Maria's Paradise,Zaida Bergroth,Contemporary World Cinema,496,https://2019.tiffr.com/shows/maria-s-paradise
Marriage Story,Noah Baumbach,Special Presentations,2081,https://2019.tiffr.com/shows/marriage-story
Martin Eden,Pietro Marcello,Platform,378,https://2019.tiffr.com/shows/martin-eden
MASTER CLASS Lulu Wang,,Industry Conference,109,https://2019.tiffr.com/shows/master-class-lulu-wang
Measure,Karen Chapman,Short Cuts,58,https://2019.tiffr.com/shows/measure
MICROSESSION A Fusion of Movies and Music,,Industry Conference,42,https://2019.tiffr.com/shows/microsession-a-fusion-of-movies-and-music
Military Wives,Peter Cattaneo,Special Presentations,637,https://2019.tiffr.com/shows/military-wives
Les Misérables,Ladj Ly,Contemporary World Cinema,757,https://2019.tiffr.com/shows/les-miserables
The Moneychanger,Federico Veiroj,Platform,427,https://2019.tiffr.com/shows/the-moneychanger
Mosul,Matthew Michael Carnahan,Special Presentations,245,https://2019.tiffr.com/shows/mosul
Motherless Brooklyn,Edward Norton,Special Presentations,1496,https://2019.tiffr.com/shows/motherless-brooklyn
Mrs. Fletcher,Nicole Holofcener| Liesl Tommy,Primetime,308,https://2019.tiffr.com/shows/mrs-fletcher
Murmur,Heather Young,Discovery,257,https://2019.tiffr.com/shows/murmur
My English Cousin,Karim Sayad,TIFF Docs,116,https://2019.tiffr.com/shows/my-english-cousin
My Life as a Comedian,Rojda Sekersöz,Discovery,533,https://2019.tiffr.com/shows/my-life-as-a-comedian
My Skin| Luminous,Gabino Rodríguez| Nicolás Pereda,Wavelengths,60,https://2019.tiffr.com/shows/my-skin-luminous
My Zoe,Julie Delpy,Platform,952,https://2019.tiffr.com/shows/my-zoe
The Nap,Federico Luis Tachella,Short Cuts,6,https://2019.tiffr.com/shows/the-nap
Nimic,Yorgos Lanthimos,Short Cuts,117,https://2019.tiffr.com/shows/nimic
No,Pablo Larraín,TIFF Cinematheque,270,https://2019.tiffr.com/shows/no
